,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
17834,NPDES:ORR10D871,NPDES,ORR10D871,SUPERIOR FOREST PRODUCTS: SITE GRADING,44.19951,-123.20306,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069603165
17839,NPDES:ORR10F391,NPDES,ORR10F391,THE RESERVE PHASE 2,44.227,-123.226,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070266814
17843,NPDES:ORR10F450,NPDES,ORR10F450,TRACTOR SUPPLY COMPANY,44.2322,-123.2027,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070504147
17852,NPDES:ORR221161,NPDES,ORR221161,WOOD RECOVERY,44.17133,-123.19995,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069582197
17866,NPDES:ORG347003,NPDES,ORG347003,ODOT - JUNTURA MAINTENANCE FACILITY,43.82,-118.09,17050117,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069565107
17885,NPDES:ORU000026,NPDES,ORU000026,AAA SEPTIC SERVICE,45.01066,-123.01034,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011005535
17912,NPDES:ORR10E279,NPDES,ORR10E279,BOWDEN MEADOWS,45.0035,-123.0524,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069592854
17923,NPDES:ORR10F267,NPDES,ORR10F267,CINEMAGIC KEIZER,45.0065,-123.0044,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070231936
17956,NPDES:ORR10E743,NPDES,ORR10E743,GALINA SUBDIVISION,45.03523,-123.01541,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070048382
17983,NPDES:ORR10F255,NPDES,ORR10F255,KASIER PERMANENTE DENTAL BUILDING,45.0067,-122.9981,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070228095
